1	85	29
2	90	29
3	92	29
4	93	29
5	94	29
6	95	29
7	96	29
8	97	29
9	98	29
10	98	30
11	99	29
12	99	32
13	100	29
14	101	29
15	101	32
16	102	29
17	102	32
18	103	29
19	103	33
20	104	29
21	104	32
22	105	29
23	105	32
24	106	29
25	106	31
26	106	34
27	107	29
28	107	33
29	108	29
30	108	32
31	109	29
32	109	31
33	109	33
34	110	29
35	110	31
36	110	34
37	111	29
38	111	32
39	111	34
40	112	29
41	112	33
42	112	35
43	113	29
44	113	33
45	114	29
46	114	31
47	114	34
48	115	29
49	115	33
50	116	29
51	116	32
52	117	29
53	117	30
54	117	35
55	118	29
56	118	34
57	119	29
58	119	33
59	120	29
60	120	32
61	121	29
62	121	32
63	122	29
64	122	32
65	123	29
66	123	32
67	124	29
68	124	32
69	125	29
70	125	31
71	126	29
72	126	32
73	127	29
74	127	33
75	128	29
76	128	33
77	129	29
78	129	34
79	130	29
80	130	34
81	131	29
82	132	29
83	132	31
84	133	29
85	133	33
86	134	29
87	134	34
88	135	29
89	136	29
90	136	31
91	137	29
92	137	34
93	138	29
94	139	29
95	139	33
96	140	29
97	141	29
98	141	31
99	142	29
100	142	35
101	143	29
102	144	29
103	145	29
104	145	31
105	146	29
106	147	29
107	147	31
108	148	29
109	149	29
110	150	29
111	150	31
112	151	29
113	152	29
114	153	29
115	154	29
116	154	31
117	155	29
118	156	29
119	157	29
120	158	29
121	159	29
122	160	29
123	161	29
124	163	29
125	164	29
126	165	29
127	167	29
128	86	29
129	91	29
130	92	30
131	93	30
132	94	30
133	95	30
134	96	30
135	97	30
136	97	31
137	98	31
138	99	30
139	99	33
140	100	30
141	101	30
142	101	33
143	102	30
144	102	33
145	103	30
146	103	34
147	104	30
148	104	33
149	105	30
150	105	33
151	106	30
152	106	32
153	106	35
154	107	30
155	107	34
156	108	30
157	108	33
158	109	30
159	109	32
160	109	34
161	110	30
162	110	32
163	110	35
164	111	30
165	111	33
166	111	35
167	112	30
168	112	34
169	111	39
170	113	30
171	113	34
172	114	30
173	114	32
174	114	35
175	115	30
176	115	34
177	116	30
178	116	33
179	116	35
180	117	31
181	117	36
182	118	30
183	118	35
184	119	30
185	119	34
186	120	30
187	120	33
188	121	30
189	121	33
190	122	30
191	122	33
192	123	30
193	123	33
194	124	30
195	124	33
196	125	30
197	125	32
198	126	30
199	126	33
200	127	30
201	127	34
202	128	30
203	128	34
204	129	30
205	129	35
206	130	30
207	130	35
208	131	30
209	132	30
210	132	32
211	133	30
212	133	34
213	134	30
214	134	35
215	135	30
216	136	30
217	136	32
218	137	30
219	137	35
220	138	30
221	139	30
222	139	34
223	140	30
224	141	30
225	141	32
226	142	30
227	142	36
228	143	30
229	144	30
230	145	30
231	145	32
232	146	30
233	147	30
234	147	32
235	148	30
236	149	30
237	150	30
238	150	32
239	151	30
240	152	30
241	153	30
242	154	30
243	154	32
244	155	30
245	156	30
246	157	30
247	158	30
248	159	30
249	160	30
250	162	29
251	163	30
252	164	30
253	166	29
254	168	29
255	87	29
256	91	30
257	92	31
258	93	31
259	94	31
260	95	31
261	96	31
262	96	33
263	97	32
264	98	32
265	99	31
266	99	34
267	100	31
268	101	31
269	100	35
270	102	31
271	102	34
272	103	31
273	102	36
274	104	31
275	104	34
276	105	31
277	105	34
278	105	35
279	106	33
280	105	37
281	107	31
282	107	35
283	108	31
284	107	37
285	108	34
286	108	36
287	108	37
288	109	35
289	110	33
290	109	38
291	111	31
292	110	37
293	111	36
294	112	31
295	111	37
296	110	41
297	113	31
298	112	38
299	113	35
300	114	33
301	113	39
302	115	31
303	115	35
304	116	31
305	116	34
306	116	36
307	117	32
308	116	39
309	118	31
310	118	36
311	119	31
312	119	35
313	120	31
314	120	34
315	121	31
316	121	34
317	122	31
318	122	34
319	123	31
320	123	34
321	124	31
322	124	34
323	124	36
324	125	33
325	126	31
326	126	34
327	127	31
328	127	35
329	128	31
330	128	35
331	129	31
332	129	36
333	130	31
334	130	36
335	131	31
336	131	36
337	132	33
338	133	31
339	133	35
340	134	31
341	134	36
342	135	31
343	135	36
344	136	33
345	137	31
346	137	36
347	138	31
348	139	31
349	139	35
350	140	31
351	140	35
352	141	33
353	142	31
354	142	37
355	143	31
356	144	31
357	144	34
358	145	33
359	146	31
360	146	35
361	147	33
362	148	31
363	149	31
364	149	34
365	150	33
366	151	31
